courseID,gradingDescription,projectWeight,hwWeight,examWeight
1,"There is no final exam.
Grading	The final grade is determined by performance on the quizzes (25 points/quiz, 125 points total), the labs and the design project (75 points total). In addition, you must have a non-zero score for each of the required labs and all the on-line lab questions must be checked off as a prerequisite for passing the course. A missing required lab will result in a failing grade; incompletes will not be given for unfinished laboratory work.

Once your combined score has been computed as explained above, here's how grades will be assigned:

Grade	Requirement
A	175 <= total points
B	155 <= total points < 175
C	135 <= total points < 155
D	115 <= total points < 135
F	total points < 115, missing required lab",75,0,125
2,"This class is offered with either letter grade or CR/NC grading option.
Course grades will be determined using the following weights:
     60% Coursework
           45% Assignments
           15% Labs
     40% Exams
           15% Midterm
           25% Final",60,0,40
3,"Grading (tentative):
Quizzes 	45%
Programming Assignments 	40%
Homework Sets 	15%",40,15,45
4,"Homeworks:			15 %
Programming/Lab Projects:	25 %
Midterm:			25 %
Final:				35 %",25,15,60
5,"Grading (tentative):

    * Exam: 40%
    * Project: 40%
    * HW, Paper Summaries, Class Participation: 20%
",40,20,40
6,"   Tentative course weighting:
       Will aim for 8 assignments (70% of grade)
       Midterm (10% of grade)
       Final exam (20% of grade)",70,0,30
7,"                                          • Effort
Grading (could change before 1st midterm)
                                             • Attending Dan!s and TA!s office hours,
 • 90 = 9% Labs (3 pts per 31-9)               completing all assignments, turning in HW0
 • 140 = 14% Homework (20 points per 8-1)
                                          • Participation
 • 320 = 32% Projects (80 points per 4)      • Attending lecture and voting using the PRS
                                               system
 • 150 = 15% Midterm [can be clobbered]
                                             • Asking great questions in discussion and
 • 300 = 30% Final                             lecture and making it more interactive
 • + Extra credit for EPA. What!s EPA?
",0,0,0
8,"Course Grading
20%	Problem Sets
40%	Quizzes
40%	Labs",40,20,40
9,"11-13 Weekly Quizzes – Open Book
50%
Every Wednesday
Simulation & Programming Assignments
20%
 4 to 5 
Final Exam
30%
See Final Schedule
",20,0,80
10,NULL,0,0,0
11,"Projects: 3% MP1 13% MP2 25% MP3
Exams: 16% Midterm #1 16% Midterm #2 25% Final
Other: 2% Subjective evaluation 
",57,2,41
12,"Machine Problems: 50% (5%, 10%, 10%, 25%)
Exams:            15% midterm #1 15% midterm #2 15% final exam
Other:            5% subjective evaluation

",50,5,45
13,NULL,0,0,0
14,"Final grades will be based on the total points earned on homeworks, projects and exams. Factors such as class participation may be used to adjust your final grade, especially if it falls on a borderline. The tentative point breakdown is as follows:

    * Projects 10% each = 40%
    * Homeworks (7 assignments) = 5%
    * Exams 2 midterms, 15% each, 1 final 25% = 55% 
",40,5,55
15,"30% 2 Prelims (15% + 15%)
   ",55,15,30
16,"5% Quizzes
5% Homework problems
50% Laboratory problems and programming projects
40% Examinations (midterm and final)
",50,5,45
17,"The weighting of the grades for the various aspects of the course are: in-class exams - 26% (Midterm 10%, short exams each 8%), quizzes 6%, final exam - 20%, homework - 20%, and class projects - 28%. The two lowest homework grades will be dropped in the computation of the final homework grade. The two lowest quiz grades will be dropped. Homework is not be accepted late, and quizzes must be taken when given. Projects may be turned in one week late with a 20% reduction of the grade given for the content of the project.
",28,20,52
18,"Component  	% of final grade
Problem Sets 	10%
Labs 	30% (5% for each of 6 labs)
Midterms 	30% (9% + 1% per midterm)
Final Exam 	23% + 2%
Subjective Evaluation 	5%
Feedback 	0%
",30,15,55
19,"homeworks and programs  	30% 
exam 1  	20% 
exam 2  	25% 
exam 3  	25% 
",30,0,70
20,"Homework 15%
Quizzes 20%
Mid-term exam 30%
Final exam 35%
",0,0,85
21,NULL,0,0,0
22,"10 % Homeworks (2.5% per homework)
50 % Programming labs (12.5% per lab)
20 % Midterm (covers first half of the course)
20 % Final (covers second half of the course)",50,10,40
23,"Quizzes - Bonus points up to 5%
Homework assignments and Lab - 35 % (20% homeworks and 15% lab project)
Final Project - 30 %
Exam - 35%
",45,25,35
24,"Homework and Projects 50% See course website
Tests 12%
each
Tentatively:
Sept 28 and Nov 18
Final Exam* 26% 10:05 ",50,0,50
25,NULL,0,0,0
26,"Midterm Exam					~30%
Final Exam					~30%
Homeworks (5)					~30%
Class participation & pop quizzes			~10%
",0,40,60
27,"1 Projects 15%
2 Homework 15%
3 Laboratory Assignments 20%
4 Quizzes 25%
5 Final exam 25%
3.3 Examinations
",35,15,50
28,"
1 Three mini-projects 30%
2 Assignments and Quizzes 20%
3 A mid-term exam 25%
4 A final exam 25%

",30,20,50
29,"Homework: 7 assignments, 3% each = 21%

Labs: 5 assignments, 3% each = 15%

Lab Quizzes: Several during the semester total = 3%

Projects: First - calculator 10%, Second - computer simulator, 15%; total = 25%

Exams: Three, non-cumulative, 12% each = 36%


",40,24,36
30,"Typically, 10% homework, 45% midterm, 45% final.
",0,10,90
31,"	Problem Sets (PS): 10%
	Programming Assignments (PA): 20%
	Quiz 1: 15%
	Quiz 2: 15%
	Final: 40%
	Class Participation: 5% 
",20,15,60
32,"Grading

In addition to the contributions below, class participation (speaking up in class, attending office hours, etc.) can raise your grade up to one notch (e.g., B to B+).
Homework 	10% 	Homeworks will be assigned through the course. They are due on Thursdays.
Quizzes 	10% 	Every Thursday there will be a quiz.
Project 	15% 	Design your own ISA! See below
Midterm 	25% 	The midterm is on November 3rd.
Final 	35% 	The final will be cummulative.
Class participation 	5% 	Speak up in class. Contribute to the web board. Come to office hours.
",15,15,70
33,"Labs 84% There are six labs of equal weight. 
Class and Blackboard participation. 16% This includes speaking up in class, helping other folks in the lab, and posting to the Blackboard. 

",84,16,0
34,"Grading and Other Class Policies
",9,42,49
