CourseID,universityName,courseDepartment,courseTitle,courseURL,ProfessorID,offeringPeriod,offeringYear,content,objectives,outcomes
1,Massachusetts Institute of Technology,Department of Electrical Engineering and Computer Science,6.004 Computation Structures,http://6004.lcs.mit.edu/,1,Fall,2009,"Introduces architecture of digital systems, emphasizing structural principles common to a wide range of technologies. Multilevel implementation strategies; definition of new primitives (e.g., gates, instructions, procedures, processes) and their mechanization using lower-level elements. Analysis of potential concurrency; precedence constraints and performance measures; pipelined and multidimensional systems. Instruction set design issues; architectural support for contemporary software structures. 4 Engineering Design Points.

6.004 offers an introduction to the engineering of digital systems. Starting with MOS transistors, the course develops of series of building blocks -- logic gates, combinational and sequential circuits, finite-state machines, computers and finally complete systems. Both hardware and software mechanisms are explored through a series of design examples.

6.004 is required material for any EECS undergraduate who wants to understand (and ultimately design) digital systems. A good grasp of the material is essential for later courses in digital design, computer architecture and systems. Before taking 6.004, students should feel comfortable using computers; a rudimentary knowledge of programming language concepts (6.001) and electrical fundamentals (6.002) is assumed.

The problem sets and lab exercises are intended to give students ""hands-on"" experience in designing digital systems; each student completes a gate-level design for a RISC processor during the semester. Access to workstations as well as help from the course staff is provided in the lab but it is possible to complete the assignments using Athena machines or one's home computer. Students are encouraged to get help from others in understanding the material, but the designs and measurements they hand in must be their own work. 

6.004 at a glance: Fall 2009

Tue 	Wed 	Thu 	Fri
Registration Day 	NO CLASS 	
L1 	Sep 10
Course overiew & mechanics. Basics of information. 	
R1 	Sep 11
L2 	Sep 15
Digital abstraction, combinational logic, voltage-based encoding. 	
R2 	Sep 16
	
L3 	Sep 17
CMOS technology; gate design; timing 	
R3 	Sep 18
L4 	Sep 22
Canonical forms; synthesis, simplification 	
R4 	Sep 23
	
L5 	Sep 24
Sequential logic.
Lab 1 (CMOS) due
	
R5 	Sep 25
QUIZ 1
L6 	Sep 29
Storage elements, finite state machines. 	
R6 	Sep 30
	
L7 	Oct 01
Synchronization, metastability.
Lab 2 (Adder) due
	
R7 	Oct 02
L8 	Oct 06
Pipelining; throughput and latency. 	
R8 	Oct 07
	
L9 	Oct 08
Case study: multipliers.
Lab 3 (ALU) due
	
R9 	Oct 09
No Lecture: Monday Schedule! 	
R10 	Oct 14
	
L10 	Oct 15
Models of computation, programmable architectures. 	
R11 	Oct 16
QUIZ 2
L11 	Oct 20
Beta instruction set architecture, compilation. 	
R12 	Oct 21
	
L12 	Oct 22
Machine language programming issues.
Lab 4 (TM) due
	
R13 	Oct 23
L13 	Oct 27
Stacks and procedures. 	
R14 	Oct 28
	
L14 	Oct 29
Beta implementation.
Lab 5 (Assy Lang) due
	
R15 	Oct 30
L15 	Nov 03
Multilevel memories; locality, performance, caches 	
R16 	Nov 04
	
L16 	Nov 05
Cache design issues 	
R17 	Nov 06
QUIZ 3
L17 	Nov 10
Virtual memory: mapping, protection, contexts 	Veteran's Day 	
L18 	Nov 12
Virtual machines: timesharing, OS kernels, supervisor calls
Lab 6 (Beta) due
	
R18 	Nov 13
L19 	Nov 17
Devices and interrupt handlers, preemptive interrupts, real-time issues 	
R19 	Nov 18
	
L20 	Nov 19
Communication issues: busses, networks, protocols
Lab 7 (Trap Handler) due
	
R20 	Nov 20
QUIZ 4
L21 	Nov 24
Communicating processes: semaphores, synchronization, atomicity, deadlock 	
R21 	Nov 25
	Thanksgiving
L22 	Dec 01
Pipelined Beta implementation, bypassing 	
R22 	Dec 02
	
L23 	Dec 03
Pipeline issues: delay slots, annulment, exceptions
Lab 8 (Tiny OS) due
	
R23 	Dec 04
QUIZ 5
L24 	Dec 08
Parallel processing, shared memory, cache coherence, consistency criteria 	No recitation 	
L25 	Dec 10
Wrapup Lecture!
PROJECT due
Finals Week - 6.004 is over! ","Learning Objectives

On completion of 6.004, students will be able to

   1. understand the role of abstraction in the design of large digital systems, and explain the major software and hardware abstractions in contemporary computer systems.

   2. analyze the performance of digital systems using measures such as latency and throughput.

   3. design simple hardware systems based on a variety of digital abstractions such as ROMs and logic arrays, logic trees, state machines, pipelining, and buses.

   4. synthesize digital systems from a library of representative components and test the designs under simulation.

   5. understand the operation of a moderately complex digital system -- a simple RISC-based computer -- down to the gate level, and be able to synthesize, implement, and debug its components.

   6. appreciate the technical skills necessary to be a capable digital systems engineer. ","Measurable Outcomes

Upon completion of 6.004, students will be able to

   1. Identify flaws and limitations in simple systems implemented using the static discipline (noise assumptions, etc)

   2. Identify flaws and limitations in simple systems implemented using clocked registers with asynchronous inputs (metastability issues).

   3. Identify flaws and limitations in simple systems implemented using pipelined processors (pipeline hazards).

   4. Identify flaws and limitations in simple systems implemented using semaphores for process synchronization (deadlocks).

   5. Identify flaws and limitations in simple systems implemented using shared-memory multiprocessors (sequential inconsistency).

   6. Characterize the logic function of combinational devices using CMOS, ROM, or PLA technologies.

   7. Explain synthesis issues for combinational devices using CMOS, ROM, or PLA technologies from their functional specification.

   8. Explain synthesis of acyclic circuits from combinational components.

   9. Calculate performance characteristics of acyclic circuits with combinational components.

  10. Explain and calculate performance characteristics of single-clock sequential circuits.

  11. Design, debug, and test combinational circuits of the complexity of an arithmetic logic unit.

  12. Design, debug, and test a controller for a finite-state machine.

  13. Pipeline a combinational circuit for improved throughput.

  14. Understand issues affecting microprocessor instruction set design.

  15. Complete and debug the design of a simple CPU with a given RISC-based intruction set.

  16. Measure the memory access performance of a processor, and tune cache design parameters to improve performance.

  17. Analyze the operation of page-based virtual memory systems.

  18. Translate simple programs from C to machine language.

  19. Deduce processor state from a memory snapshot during execution. "
2,Stanford University,Department of Computer Science,CS107 Computer Organization and Systems,https://courseware.stanford.edu/info/course/CS107,2,Fall,2009,"Week Topics
  1  Admin, intro to systems, C basics, UNIX development tools
  2  C pointers/arrays, C-strings
  3  C generics, void *, function pointers, data representation
  4  Computer architecture, IA32 introduction
  5  IA32: addressing, arithmetic
  6  IA32: control function calls, runtime stack
     Midterm: Fri Oct 30 11am-12:15pm
  7  Compilation tool chain, linkers, loaders, address space
  8  Memory hierarchy, caches, pipelining
  9  Concurrency, synchronization
     Thanksgiving recess
 10  Advanced topics: implementation of higher-level abstractions, virtual
     machines
     Final: Fri Dec 11 8:30-11:30 am",NULL,NULL
3,Stanford University,Department of Electrical Engineering,EE282 Computer Systems Architecture,NULL,3,Fall,2009,"Course description: EE282 focuses on advanced architecture topics for systems such as personal computers, servers, and embedded or portable devices. It covers topics such as cache hierarchies, memory systems, storage and IO systems, clusters, fault-tolerance, and low power design. In addition, the programming assignments provide an introduction to performance analysis and optimization techniques for small-scale and large-scale systems. At the completion of the course, you will understand basic principles such as locality, coarse-grain parallelism, overlapping communication and computation, performance/power trade-offs, and reliability. Overall, you will understand how computer systems are organized and, more importantly, why they are organized that way. EE282 discusses the characteristics of modern processors that affect system architecture, but does not provide detailed coverage of their internal microarchitecture (see EE382A). The prerequisite course is EE108B  or an equivalent course in computer organization. CS140 or an equivalent on operating systems is strongly recommended but not officially required.  ",NULL,NULL
4,Stanford University,Department of Electrical Engineering,EE108B - Digital Systems II,https://ccnet.stanford.edu/ee108b/,76,Fall,2009,"EE108B
Tentative Course Schedule
Fall 2009/10

Date

Lecture

Subject
Reading
HW /PA/LB
Assigned
HW/PA/LB
Due
Tue Sep 22
1
Introduction, course overview
1


Thu Sep 24
2
MIPS ISA I: operands and operations
2.1 - 2.3
HW1

Tue Sep 29
3
MIPS ISA II: data and control transfer
2.5 - 2.7
LB1

Thu Oct 1
4
MIPS ISA III: loops, case stmts, procedures
2.8 - 2.10
PA1

Tue Oct 6
5
 Performance
1.4

HW2
HW1
Thu Oct 8
6
Compiler optimization
2.12­ - 2.15


Tue Oct 13
7
Processor building block: simple processor
4.1 - 4.4
LB2
LB1
Thu Oct 15
8
Improving performance with parallelism/pipelining
4.5 - 4.6

HW2
NO late day
Tue Oct 20
9
Pipeline Hazards I
4.7 - 4.8


Thu Oct 22

Midterm Exam, 7:00pm-9:00pm
   TBD
Lectures 1-8


Tue Oct 27
10
Pipeline Hazards II
4.7 – 4.8
LB3, HW3
LB2/PA1
Thu Oct 29
11
Memory Hierarchy I
5.1 – 5.3


Tue Nov 3
12
Memory Hierarchy II
5.4 – 5.5
HW4, PA2
HW3
Thu Nov 5
13
Interrupts and Exceptions 
5.4, 4.9


Tue Nov 10
14
Operating System basics I: Virtual memory
5.4
LB4
LB3, PA2.1
Thu Nov 12
15
Operating system basics II: Processes



Tue Nov 17
16
I/O devices 
6.1 – 6.3
HW5
PA2.2, HW4

Thu Nov 19
17
Buses and Interfacing 
6.5 – 6.6


Tue Dec 1
18
I/O system design 


HW5
NO late day
Thu Dec 3

19
Multiprocessors & Review
7.1 – 7.8

LB4
Mon Dec. 9 

Final Exam,  TBD
Lectures 1-19",NULL,NULL
5,Stanford University,Department of Electrical Engineering,EE382A Advanced Processor Architecture,http://www.stanford.edu/class/ee382a/,3,Autumn,2009,"Course description:  EE382A provides in-depth coverage of fundamental architecture and implementation techniques for modern processor chips. It covers topics such as advanced pipelining, superscalar execution, out-of-order processing, speculative execution, VLIW, data parallelism, multithreading, graphics processors, and multi-core chips. The students will become familiar with complex trade-offs between performance-power-complexity and the common techniques for addressing the challenges in historical and modern processors. A central part of EE382A is a group project on an open research question. EE382A assumes a solid background on basic computer organization including instruction set design, pipelining, caching, virtual memory. EE108B, or an equivalent class, is a prerequisite. EE382a touches on the topic of advanced caching hierarchies covered in EE282. However, EE282 is not a prerequisite.",NULL,NULL
6,California Institute of Technology,Department of Computer Science,CS 24. Introduction to Computing Systems,https://courses.caltech.edu/course/view.php?id=221,77,Spring,2009,"	Lecture 1 PDF - 2009-03-30	Introduction. Overview of instruction set architecture. Basic processor components. Data representation for unsigned integers, and two's complement signed integers.
	Lecture 2 PDF - 2009-04-01	Branching instruction support. Memory architectures. Harvard architecture vs. Von Neumann architecture. Load/Store architecture vs. operand types. Register file and main memory.
	cs24hw1.tgz	
	Assignment 1 Solutions	
2	Lecture 3 PDF - 2009-04-08	Subroutines. Stacks. Stack frames, frame pointers. IA32 overview and instructions. Operand types, memory addressing modes.
	Lecture 4 PDF - 2009-04-10	
	cs24hw2.tgz	
	Intel 64/IA-32 Dev Manual Vol.1 - Basic Architecture	Intel 64 and IA-32 Architectures Software Developer's Manual, Volume 1 - Basic Architecture
	Intel 64/IA-32 Dev Manual Vol.2A - Instruction Set Reference A-M	The Intel 64 and IA-32 Architectures Software Developer’s Manual, Volumes 2A & 2B: Instruction Set Reference
	Intel 64/IA-32 Dev Manual Vol.2B - Instruction Set Reference N-Z	The Intel 64 and IA-32 Architectures Software Developer’s Manual, Volumes 2A & 2B: Instruction Set Reference
	Assignment 2 Solutions	
3	Lecture 5 PDF - 2009-04-13	
	Lecture 6 PDF - 2009-04-17	C structs, unions. Data alignment and optimization. Buffer overflows and overflow exploits. Higher-level language facilities: bounds checking, garbage collection, exception handling.
	cs24hw3.tgz	
	Assignment 3 Solutions	
4	Lecture 7 PDF - 2009-04-20	Object-oriented programming paradigm. Objects, classes. Polymorphism. Garbage collecting allocators. Mark-and-sweep, stop-and-copy, generational garbage collection.
	Lecture 8 PDF -2009-04-22	Reference counting. Exception handling mechanisms: stack cutting, stack unwinding.
	Memory Management in the Java HotSpot Virtual Machine	
	A Study of Exception Handling and Its Dynamic Optimization in Java	
	cs24hw4.tgz	
	Assignment 4 Solutions	
5	Lecture 9 PDF - 2009-04-27	Physical constraints on memory. Memory technologies: SRAM, DRAM, magnetic disks. Caching: motivations, general approach. Memory hierarchy.
	Lecture 10 PDF - 2009-04-29	Cache design and layout. Direct-mapped caches, fully associative caches, set-associative caches. Cache performance analysis. Cache utilization and memory mountain.
	Midterm Solutions	
6	Lecture 11 PDF - 2009-05-04	Midterm review. Impact of multi-core on hardware caching. Cache coherence protocols. False sharing.
	Lecture 12 PDF - 2009-05-06	Virtualization. Virtual processors, processes. Context-switch. Control process, privilege levels, operating modes. Exceptional control flow: interrupts, traps, faults, aborts. IA32 privilege modes, gates.
	cs24hw5.tgz	
	The SimpleScalar Tool Set, Version 2.0	
	Assignment 5 Solutions	
7	Please Fill Out the Webcast Survey!	
	Lecture 13 PDF - 2009-05-11	
	Lecture 14 PDF - 2009-05-13	
	cs24hw6.tgz	
	Assignment 6 Solutions	
8	Lecture 15 PDF - 2009-05-20	Process states (implementation), state transition diagram. Process Control Blocks. Scheduling. Interactive processes, long-running processes, real-time processes. Scheduling algorithms: Round Robin, Shortest Jobs First, Earliest Deadline First, Multilevel Feedback Queues.
9	Lecture 16 PDF - 2009-05-29	Virtual memory. CPU hardware: Memory Management Unit (MMU), address translation. Page tables, page faults, general protection faults. Process virtual-memory uses. ",NULL,NULL
7,University of California-Berkeley,Department of Electrical Engineering and Computer Science,"CS 61CL 	Machine Structures",http://inst.eecs.berkeley.edu/~cs61c/current/,5,Summer,2009,"Wk  	Date  	Lecture Topic  	Reading  	Homework Due
1
	06.22 M
	Course Introduction, Beginning C 	--- 	
06.24 W
	The C Programming Language 	K&R: 1.1-1.9, All of Chapter 2, 3.1-3.7, 4.1, 4.2, 5.1-5.10, 6.1-6.3, 7.5
	HW0
2
	06.29 M
	Memory Management
	K&R: 6.4-6.7, appendices B1, B2, B3, B5, and B11
Pointer Fun with Binky	HW1
TA: Josh
07.01 W
	MIPS I: Registers, Memory, and Decisions 	P&H (4th): 2.1-2.3, 2.7
P&H (3rd): 2.1-2.3, 2.6
	HW2 (Due Thursday)
TA: James
3 	07.06 M 	MIPS II: Procedures, Logic, and Instruction Format 	P&H (4th): 2.5-2.8, 2.10, 2.14
P&H (3rd): 2.4-2.7, 2.9, 2.15 	HW3
TA: James
07.08 W 	Number Representation, Floating Point 	P&H (4th): 2.4, 3.2, 3.5, 3.7, 3.8, 2.12, B1-B3
P&H (3rd): 3.2, 3.3, 3.6, 3.7, 3.8, 2.10, A.1-A.3
	Proj 1 (Due Friday)
TA: James
4
	07.13 M
	Compilation, Assembly, Linking 	P&H (4th): C.1-C.3, C.5-C.8
P&H (3rd): B.1-B.3, B.5-.B.8
	HW4
TA: James
07.15 W
	State Elements, Combinational Logic 	P&H (4th): C.9-C.11
P&H (3rd): B.9-B.11
	Proj 2 (Due Friday)
TA: Josh
5
	07.20 M
	Midterm (covers lectures 1-7) Solutions 	---
	
07.22 W
	CPU Design I 	P&H (4th): 4.1-4.4
P&H (3rd): 5.1-5.4 	HW5 (Due Thursday)
TA: Josh
6 	07.27 M 	CPU Design II 	P&H (4th): 4.5-4.8
P&H (3rd): 6.1-6.6
	HW6
TA: Paul
07.29 W 	Caches 	P&H (4th): 5.1-5.3
P&H (3rd): 7.1-7.3 	HW7 (Due Thursday)
TA: Paul
7 	08.03 M 	Virtual Memory 	P&H (4th): 5.4-5.5
P&H (3rd): 7.4-7.5
	Proj 3 (Due Monday)
TA: Paul
08.05 W 	More Caching/VM, Evaluation 	--- 	HW8 (Due Thursday)
TA: James
8 	08.10 M 	I/O 	P&H (4th): 6.1-6.7. B.7, B.8
P&H (3rd): 8.1-8.6, A.7, A.8
	Proj 4
TA: James
08.12 W 	Parallelism, Final Review 	---
	
08.13 Th 	Final (9-12 277 Cory) 	
	
",NULL,NULL
8,University of California-Berkeley,Department of Electrical Engineering and Computer Science,Computer Science 152: Computer Architecture and Engineering,http://www-inst.eecs.berkeley.edu/~cs152/,4,Spring,2009,"Week   	 Date   	 Lecture   	 Readings   	 Assignments
1 	Tue Jan 20 	L1: Introduction, ISA Design PPT PDF 	  	 
Thu Jan 22 	S1: Introduction to Simics simulator PPT PDF 	  	 
Fri Jan 23 	No section 	  	 
2 	Tue Jan 27 	L2: Simple Machine Implementations PPT PDF 	Ch. 1, App. B 	 
Thu Jan 29 	L3: From CISC to RISC PPT PDF 	  	Lab 1 PDF ZIP tar.gz
PS 1 ZIP tar.gz
Fri Jan 30 	S2: Lab 1 overview PDF solutions 	  	 
3 	Tue Feb 3 	L4: Pipelining PPT PDF 	A.1-A.3 	 
Thu Feb 5 	L5: Pipelining part II PPT PDF 	A.4 	 
Fri Feb 6 	S3: Pipelining review PDF 	  	 
4 	Tue Feb 10 	L6: Memory Hierarchy PPT PDF 	C.1-C.3 	PS 1 due, Lab 1 due
Wed Feb 11 	S4: PS 1 review 3111 Etcheverry, 12-1pm 	  	PS 1 solutions DOC PDF
Thu Feb 12 	Quiz 1: ISAs, microcode, simple pipelines
Solutions: DOC PDF 	  	 
5 	Mon Feb 16 	President's Day Holiday 	No Office Hours 	 
Tue Feb 17 	L7: Memory Hierarchy II (in 320 Soda) PPT PDF 	  	PS 2 ZIP tar.gz
Lab 2 PDF ZIP tar.gz
Thu Feb 19 	L8: Memory Hierarchy III PPT PDF 	  	 
Fri Feb 20 	S5: Lab 2 overview PDF solutions 		 
6 	Tue Feb 24 	L9: Address Translation and Protection PPT PDF 	  	 
Thu Feb 26 	L10: Virtual Memory PPT PDF 	  	PS 2 due, Lab 2 due
Fri Feb 27 	S6: PS 2 review 	  	PS 2 solutions DOC PDF
7 	Tue Mar 3 	Quiz 2: Memory Hierarchies
Solutions: DOC PDF 	  	PS 3 ZIP tar.gz
Lab 3 PDF ZIP tar.gz
Thu Mar 5 	L11: Virtual Memory and Caches PPT PDF 	  	 
Fri Mar 6 	S7: Lab 3 overview PDF 	  	 
8 	Tue Mar 10 	L12: Complex pipelines PPT PDF 	A.5-A.8 	 
Thu Mar 12 	L13: Out-of-order issue, register renaming, branch prediction PPT PDF 	Ch 2.1-2.5 	PS 3 due, Lab 3 due
Fri Mar 13 	S8: PS 3 review 	  	PS 3 solutions DOC PDF
9 	Tue Mar 17 	L14: Advanced Out-of-Order Superscalars (in 320 Soda) PPT PDF 	  	 
Thu Mar 19 	Quiz 3: Virtual Memory
Solutions: DOC PDF 	  	PS 4 DOC PDF
Lab 4 PDF ZIP tar.gz
Fri Mar 20 	S9: Lab 4 overview PDF solutions 	  	 
10 	Mar 23-27 	Spring Break 	  	 
11 	Tue Mar 31 	L15: Out-of-Order Memory Accesses, Complex Superscalar Review PPT PDF 	  	 
Thu Apr 2 	L16: VLIW PPT PDF 	  	PS 4 due, Lab 4 due
Fri Apr 3 	S10: PS 4 review 	  	PS 4 solutions DOC PDF
12 	Tue Apr 7 	Quiz 4: Complex Pipelining
Solutions: DOC PDF 	  	PS 5 DOC PDF
Lab 5 PDF ZIP tar.gz
Thu Apr 9 	L17: Vectors PPT PDF 	App. F 	 
Fri Apr 10 	S11: Lab 5 overview PDF 	  	 
13 	Tue Apr 14 	L18: Multithreading PPT PDF 	  	 
Thu Apr 16 	L19: Synchronization and Sequential Consistency PPT PDF 	  	 
Fri Apr 17 	  	  	 
14 	Tue Apr 21 	L20: Snoopy Caches PPT PDF 	  	PS 5 due, Lab 5 due
Wed Apr 22 	S12: PS 5 review (in 310 Soda) 	  	PS 5 solutions DOC PDF
Thu Apr 23 	Quiz 5: VLIW, Vectors, Multithreading
Solutions: DOC PDF 	  	PS 6 ZIP tar.gz
Lab 6 PDF ZIP tar.gz
Fri Apr 24 	S13: Lab 6 overview PDF 	  	 
15 	Tue Apr 28 	L21: Directory Protocols (Scott) PPT PDF 	  	 
Thu Apr 30 	L22: Virtual Machines PPT PDF 	  	 
Fri May 1 	  	  	 
16 	Tue May 5 	L23: Putting it all Together: Nehalem 	  	PS 6 due, Lab 6 due
Wed May 6 	S14: PS 6 review (405 Soda, 12-1p) 	  	PS 6 solutions DOC PDF
Thu May 7 	Quiz 6: Parallel Architectures
Solutions: DOC PDF",NULL,NULL
9,Georgia Institute of Technology-Main Campus,Department of Electrical Engineering,ECE 3055 Computer Architecture and Operating Systems,http://users.ece.gatech.edu/~hamblen/3055/,78,Fall,2009,"Topical Outline: 

Instruction Set Architectures (2 weeks)
  CISC and RISC: ISA evolution and tradeoffs
  Instruction formats, number of operands, addressing modes
  Controller implementation: state machine vs. microprogramming
  Effect of ISA on microarchitecture implementation
  Effect of ISA on the compiler 

Pipelining (4 weeks)
  Pipelining basics
  Pipeline stages: fetch, decode, execute, memory write-back
  Hazards and solutions
  Branch prediction and delayed branches
  Case Studies

Memory Systems (3 weeks)
  Memory hierarchy
  Basic organization of caches, interleaved memory
  Virtual memory basics, memory management
  Deadlocks
  Segmentation and protection
  Case Studies

Process Management (3 weeks)
  Processes, threads, and CPU scheduling
  Synchronization and concurrency management
  Deadlocks, protection, and security
  Case Studies

I/O Architectures (2 weeks)
  Bus hierarchies, device drives
  Interrupts, DMA, polling
  Disk structures, I/O scheduling
  File allocation and file systems
  LANs, network interfaces, basic interprocessor communciation
  Case Studies

Laboratory Assignments
  Architecture simulation
  Operating system project","ourse Objectives - As part of this course, students:

    1.  build on ECE 2030 to enhance their understanding of core concepts of computer architecture related to processor, memory, and I/O subsystems. [6,8,11]
    2.  are introduced to core concepts of operating systems related to memory management, process and thread management, and I/O. [6]
    3.  will understand the interactions of hardware and software in a general-purpose computer system. [6,8,11]
    4.  gain laboratory-based experience in designing, implementing, and simulating hardware and software components of a computer system. [7,10,11]
    5.  utilize modern hardware and software design tools and languages in state-of-the-art facilities. [1,7,11]
    		","Course Outcomes - Upon successful completion of this course, students should be able to:

    1.  evaluate cycles per instruction (CPI) for multi-cycle and pipelined data paths.
    2.  schedule machine-instruction-level programs on a pipelined datapath both with and without hazard handling.
    3.  define different types of data and control dependences and describe multiple methods of handling them.
    4.  design, using standard digital components, cache memories of different sizes and associativities.
    5.  describe several replacement policies for associative memory structures; e.g., set-associative caches or virtual memory pages.
    6.  determine the contents of a cache after execution of a memory trace.
    7.  define and understand virtual memory, including the concepts of paging, TLB, and page table.
    8.  determine the contents of a page table and TLB after execution of a memory trace.
    9.  describe I/O operation in a general-purpose computer system, including synchronous/asynchronous bus characteristics, bus arbitration schemes, and DMA.
    10.  define processes and threads.
    11.  construct and evaluate CPU schedules for a variety of scheduling algorithms.
    12.  define the problem of process/thread synchronization and describe several alternative mechanisms for handling synchronization.
    13.  define deadlock and describe several mechanisms for handling it.
    14.  step through an algorithm to determine if a given set of processes and resources are deadlocked.
    		"
10,University of Illinois at Urbana-Champaign,NULL,CS 231 Computer Architecture I,NULL,6,NULL,NULL,NULL,NULL,NULL
