ISBN,Title,Authors,Edition
0195131096,A Programmer's View of Computer Architecture: With Assembly Language Examples from the MIPS RISC Architecture,"James Goodman, Karen Miller",1
0070570647,Modern Processor Design: Fundamentals of Superscalar Processors ,"J.P. Shen, M. Lipasti",1
0072467509,Introduction to Computing Systems: From bits & gates to C & beyond,"Yale Patt, Sanjay Patel ",2
0123704901,Computer Architecture: A Quantitative Approach,"David A. Patterson, John L. Hennessy",4
0123704979,Digital Design and Computer Architecture,"David M. Harris, Sarah L. Harris",1
0123744938,Computer Organization & Design: The Hardware/Software Interface,"David A. Patterson, John L. Hennessy",4
0130484407,Computer Systems Design and Architecture,"Vincent P. Heuring, Harry Jordan",2
0131103628,The C Programming Language,"Brian Kernighan, Dennis Ritchie",2
0131485210,Structured Computer Organization,Andrew S. Tanenbaum,5
0131491792,Essentials of Computer Architecture,Douglas E. Comer,1
0131587420,"The Motorola Mc68000 Microprocessor Family: Assembly Language, Interface Design, and System Design","Thomas L. Harman, David T. Hein",2
013198926X,Logic and Computer Design Fundamentals,"M. Morris Mano, Charles R. Kime",4
0136073735,Computer Organization and Architecture: Designing for Performance,William Stallings,8
0136108040,Computer Systems: A Programmer's Perspective,"Randal E. Bryant, David R. O'Hallaron ",2
0138756341,Superscalar Microprocessors Design ,Mike Johnson,1
0470128720,Operating System Concepts,"A. Silberschatz, P. Galvin, G. Gagne",8
1558606041,"Computer Organization and Design, Third Edition: The Hardware/Software Interface","David A. Patterson, John L. Hennessy",3
