universityName,carnegieClassification,schedule
Brown University,RU/VH: Research Universities (very high research activity),semester
California Institute of Technology,RU/VH: Research Universities (very high research activity),quarter
Carnegie Mellon University,RU/VH: Research Universities (very high research activity),semester
Columbia University in the City of New York, RU/VH: Research Universities (very high research activity),semester
Cornell University-Endowed Colleges,RU/VH: Research Universities (very high research activity,semester
Duke University,RU/VH: Research Universities (very high research activity),semester
Georgia Institute of Technology-Main Campus,RU/VH: Research Universities (very high research activity),semester
Harvard University,RU/VH: Research Universities (very high research activity),semester
Iowa State University,RU/VH: Research Universities (very high research activity),semester
Johns Hopkins University,RU/VH: Research Universities (very high research activity),semester
Massachusetts Institute of Technology,RU/VH: Research Universities (very high research activity),semester
North Carolina State University at Raleigh,RU/VH: Research Universities (very high research activity),semester
Northwestern University,RU/VH: Research Universities (very high research activity),quarter
Ohio State University-Main Campus,RU/VH: Research Universities (very high research activity),quarter
Pennsylvania State University-Main Campus,RU/VH: Research Universities (very high research activity),semester
Princeton University,RU/VH: Research Universities (very high research activity),semester
Purdue University-Main Campus,RU/VH: Research Universities (very high research activity),semester
Rensselaer Polytechnic Institute,RU/VH: Research Universities (very high research activity),semester
Rice University,RU/VH: Research Universities (very high research activity),semester
Stanford University,RU/VH: Research Universities (very high research activity),quarter
Texas A & M University,RU/VH: Research Universities (very high research activity),semester
The University of Texas at Austin,RU/VH: Research Universities (very high research activity),semester
University of California-Berkeley,RU/VH: Research Universities (very high research activity),semester
University of California-Davis,RU/VH: Research Universities (very high research activity),quarter
University of California-Los Angeles,RU/VH: Research Universities (very high research activity),quarter
University of California-San Diego,RU/VH: Research Universities (very high research activity),quarter
University of California-Santa Barbara,RU/VH: Research Universities (very high research activity),quarter
University of Colorado at Boulder,RU/VH: Research Universities (very high research activity),semester
University of Florida, RU/VH: Research Universities (very high research activity),semester
University of Illinois at Urbana-Champaign,RU/VH: Research Universities (very high research activity),semester
University of Maryland-College Park,RU/VH: Research Universities (very high research activity),semester
University of Michigan-Ann Arbor,RU/VH: Research Universities (very high research activity),semester
University of Minnesota-Twin Cities,RU/VH: Research Universities (very high research activity),semester
University of Pennsylvania,RU/VH: Research Universities (very high research activity),semester
University of Southern California,RU/VH: Research Universities (very high research activity),semester
University of Virginia, RU/VH: Research Universities (very high re,semester
University of Washington-Seattle Campus,RU/VH: Research Universities (very high research activity),quarter
University of Wisconsin-Madison,RU/VH: Research Universities (very high research activity),semester
Virginia Polytechnic Institute,RU/VH: Research Universities (very high research activity),semester
Arizona State University,RU/VH: Research Universities (very high research activity),semester
